Weight,Coffee,Process,SCA score,Sensory profile,Approx. no of bags SPOT,Cena PLN/kg netto,Price USD/kg,Price EUR/kg
59 kg,"Brazil 1st Place Forca Cafe Pulped Natural - Elias Morais Goncalves, Matas de Minas",pulped natural,87,"raspberry,tea,flowers, macadamia nuts",11,"35,83","8,39","7,64"
59 kg,"Brazil 2nd Place Forca Cafe Natural - Jose Nelson Pereira, Matas de Minas",natural,"86,5","raspberry jam,peach,hazelnut",14,"38,21","8,95","8,15"
59 kg,"Brazil 4th Place Forca Cafe Microlot - Josiane Borges da Silva, Circuito das Aguas",natural,87,"blackberry,wild strawberry, grilled pineapple,chocolate",6,"36,30","8,50","7,74"
59 kg,"Brazil 5th Place Forca Cafe Microlot - Daniel Magalhaes dos Santos, Circuito das Aguas",natural,85,"stone fruits, peanut butter, brown sugar",7,"34,42","8,06","7,34"
59 kg,"Brazil 6th Place Forca Cafe Microlot - Ademir Francisco Pereira, Circuito das Aguas",natural,"84,75","pear, biscuits, chocolate",7,"33,47","7,84","7,14"
20 kg,Brazil DECAF CO2 [20kg box],decaf,-,-,1,"40,61","9,51","8,66"
60 kg,Brazil DECAF CO2,decaf,-,-,7,"36,34","8,51","7,75"
59 kg,"Brazil Fazenda Dona Nenem, Yellow  Bourbon, Scr. 16 up, in GrainPro",pulped natural,"83,5","pomelo, walnut, chocolate",53,"26,73","6,26","5,70"
59 kg,Brazil Fazenda Irmas Pereira scr. 15 up Yellow Bourbon double fermented,double fermente,"87,5","plum, papaya, almond, chocolate",1,"37,14","8,70","7,92"
59 kg,Brazil Fazenda Monte Belo NY2/3 Scr.16up,natural,-,-,58,"29,75","6,97","6,34"
59 kg,"Brazil Fazenda Pedra Grande pulped natural Yellow Bourbon Scr. 15 up, in GrainPro",pulped natural,83,"plum, walnut, dark chocolate",47,"24,76","5,80","5,28"
59 kg,"Brazil Fazenda Rainha, Yellow  Bourbon, pulped Natural, Scr.16 up, in videplast",pulped natural,83,"yellow plum, almond, cocoa",471,"29,09","6,81","6,20"
59 kg,"Brazil Fazenda Sertão scr. 16up Yellow Bourbon, in GrainPro",natural,84,"blueberry, apricot, chocolate",241,"27,39","6,42","5,84"
59 kg,Brazil Forca Cafe AMANTINO DO CARMO DUTRA GONÇALVES NETO Casa da Crianca,pulped natural,"84,75","pomelo, blueberry, biscuits",10,"27,75","6,50","5,92"
59 kg,Brazil Forca Cafe ELIAS MORAIS GONÇALVES Casa da Crianca,pulped natural,"84,5","grapes, walnut, cinnamon",13,"27,32","6,40","5,83"
59 kg,Brazil Forca Cafe ELIESER CARMELITO DA SILVA Casa da Crianca,natural,"85,5","blackberry, maple syrup, cardamom",14,"29,88","7,00","6,37"
59 kg,Brazil Forca Cafe JOSÉ RESENDE DE OLIVEIRA Casa da Crianca,natural,"84,25","red apple, walnut, chocolate",2,"26,89","6,30","5,73"
59 kg,Brazil Forca Cafe ROSANGELA MOURA ALVES Casa da Crianca,pulped natural,85,"dried peach, hazelnurt, milk chocolate",3,"27,53","6,45","5,87"
59 kg,Brazil Forca Cafe VALQUIRIA GONÇALVES BASTOS Casa da Crianca,pulped natural,86,"peach, almond, milk chocolate",3,"28,18","6,60","6,01"
60 kg,Brazil Santos 14/16 gc,natural,basic,"nuts, chocolate",359,"22,69","5,31","4,84"
59 kg,Brazil Santos 17/18 ss fc Oberon Cerrado,natural,premium,"milk chocolate, hazelnut, citric acidity",3012,"23,91","5,60","5,10"
70 kg,Colombia Cóndor Huila Especial,washed,"85,5","wild cherry, red currant, fruit drop",13,"37,70","8,83","8,04"
53 kg,Colombia DECAF Colombia CO2,decaf,-,-,8,"45,31","10,61","9,66"
